,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,130.2852608203888,0.2805105662481669,1.3279460430145265,0.06759991165951336,balanced_subsample,gini,57,sqrt,19,6,338,"OrderedDict({'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 57, 'max_features': 'sqrt', 'min_samples_leaf': 19, 'min_samples_split': 6, 'n_estimators': 338})",-402.56759952700037,-392.5716725791617,-407.88897648140846,-399.33169097359087,-406.2745548912686,-401.726898890486,5.457368279215913,14
1,93.8264549255371,0.23748638757716029,0.7822164535522461,0.045630755447478424,balanced_subsample,gini,98,sqrt,6,20,187,"OrderedDict({'class_weight': 'balanced_subsample', 'criterion': 'gini', 'max_depth': 98, 'max_features': 'sqrt', 'min_samples_leaf': 6, 'min_samples_split': 20, 'n_estimators': 187})",-349.2978583628958,-336.4472474050716,-359.1622651425568,-355.2998291945868,-346.32803363773735,-349.3070467485697,7.839487403324895,13
2,215.38431544303893,0.522955500828766,2.404639720916748,0.05406988695468801,balanced,log_loss,62,sqrt,5,10,318,"OrderedDict({'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 62, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 318})",-317.1193010116936,-316.57732229667585,-327.5354749704375,-320.8777427407699,-315.43006372774454,-319.50798094946424,4.410008355392362,10
3,31.980477857589722,0.10664178213044398,0.22319955825805665,0.03219522052378644,balanced,entropy,74,sqrt,16,9,64,"OrderedDict({'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 74, 'max_features': 'sqrt', 'min_samples_leaf': 16, 'min_samples_split': 9, 'n_estimators': 64})",-430.4452765733806,-424.5601103665747,-442.02713178294573,-445.2372224412035,-428.36410222718615,-434.12676867825814,8.0515908987174,19
4,276.08268303871154,0.71240337865231,3.3359262466430666,0.15693252452978357,balanced_subsample,log_loss,41,sqrt,5,6,414,"OrderedDict({'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_depth': 41, 'max_features': 'sqrt', 'min_samples_leaf': 5, 'min_samples_split': 6, 'n_estimators': 414})",-311.337340691105,-316.45053212455656,-322.9612403100775,-321.4260938115885,-313.19059194533867,-317.07315977653326,4.516174173360485,8
5,36.9431179523468,0.1418957507864327,0.9363244056701661,0.11618278532340819,,log_loss,49,log2,9,13,186,"OrderedDict({'class_weight': None, 'criterion': 'log_loss', 'max_depth': 49, 'max_features': 'log2', 'min_samples_leaf': 9, 'min_samples_split': 13, 'n_estimators': 186})",-418.12140323216397,-420.7932597556169,-426.5547891210091,-426.626198922612,-410.79442874975365,-420.5780159562311,5.900884497327533,17
6,7236.386392450333,16.06186328776823,1.4355239868164062,0.25258513932175575,balanced_subsample,log_loss,76,,3,10,401,"OrderedDict({'class_weight': 'balanced_subsample', 'criterion': 'log_loss', 'max_depth': 76, 'max_features': None, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 401})",-293.08750492707924,-312.48653265011166,-311.0097884640652,-315.9954013927211,-302.30884961566255,-306.977615409928,8.278400763391565,2
7,30.428691959381105,0.08950637568820073,1.0817514896392821,0.03961788765577446,balanced,gini,27,log2,14,19,229,"OrderedDict({'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 27, 'max_features': 'log2', 'min_samples_leaf': 14, 'min_samples_split': 19, 'n_estimators': 229})",-404.71219287872816,-401.7809749047431,-408.19846275128106,-420.08697937196166,-410.15682281059065,-408.987086543461,6.251409313408768,16
8,51.29915828704834,0.1439766082375082,0.9923576354980469,0.0633060787496684,,log_loss,14,log2,1,18,238,"OrderedDict({'class_weight': None, 'criterion': 'log_loss', 'max_depth': 14, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 18, 'n_estimators': 238})",-415.6803967941138,-425.68164498751804,-427.2619892261201,-435.7014189988175,-414.65357072465673,-423.79580414624525,7.832684956388673,18
9,57.147901153564455,0.0793379200796451,1.6673405647277832,0.10725859829327684,balanced,log_loss,95,log2,12,8,306,"OrderedDict({'class_weight': 'balanced', 'criterion': 'log_loss', 'max_depth': 95, 'max_features': 'log2', 'min_samples_leaf': 12, 'min_samples_split': 8, 'n_estimators': 306})",-398.87386677177767,-399.2919458678229,-413.41453159900146,-409.2003021941926,-405.73707377964655,-405.3035440424882,5.632776467904954,15
